Search City,Job Title,Company,Location,Job Description,Required Skills,Posted Date,Job URL
Mumbai,Sales Billing Dispatch Executive,Double Hr Consultancy,Mumbai,. Disclaimer: This job description has been sourced from a public domain and may have b...,SAP FICO | Sales | Billing | Dispatch Executive | SAP Executive | Sales Bill | SAP | Dispatch,3+ weeks ago,https://www.naukri.com/job-listings-sales-billing-dispatch-executive-double-hr-consultancy-mumbai-2-to-4-years-031225502118
Mumbai,Dispatch Executive,Ambetronics Engineers,Mumbai,Roles & Responsibility- Coordinate daily dispatch operations and delivery schedules Ass...,Dispatch Planning | Dispatch Scheduling | Dispatch | Order Processing | Process | Order fulfillment | Processing | Scheduling,2 weeks ago,https://www.naukri.com/job-listings-dispatch-executive-ambetronics-engineers-mumbai-1-to-4-years-090626031956
Mumbai,Dispatch Executive,Quiz Electronics Llp,Mumbai(Vasai East),Key Responsibilities:Booking orders in the system (Tally/Excel)Managing daily dispatch ...,Tally ERP | Communication Skills | Excel | Dispatch | Hindi | MS Office | Microsoft | Tally,1 day ago,https://www.naukri.com/job-listings-dispatch-executive-quiz-electronics-llp-mumbai-0-to-2-years-230626934890
Mumbai,Dispatch Executive,Convocare Hr & Counselling,Mumbai,Bachelors degree with 2-4 years of experience in the steel industryOpen-minded and adap...,Transport Executive | Transport management | Routing | Dispatch Executive | Logistics | Sales achievement | Transportation | Sales,3+ weeks ago,https://www.naukri.com/job-listings-dispatch-executive-convocare-hr-counselling-services-llp-mumbai-2-to-4-years-190326501688
Mumbai,Dispatch Executive,Gemtree Natural Produce,Mumbai,"Maintain accurate records of deliveries and vehicles, and prepare reports for managemen...",grn | dispatch | supply chain | warehouse operations | warehouse management | logistics operations | logistics | warehouse,3+ weeks ago,https://www.naukri.com/job-listings-dispatch-executive-gemtree-mumbai-1-to-4-years-100725501560
Mumbai,Dispatch Executive,Vinson Logistics,Mumbai(Taloja),"Verification, storage and dispatch of goods; ensure accurate documentation, inventory u...",Inbound Logistics | SAP | Dispatch | Dispatch Planning | Outbound Logistics | GRN | E Way Bill | Warehouse Operations,3 weeks ago,https://www.naukri.com/job-listings-dispatch-executive-vinson-logistics-mumbai-3-to-5-years-040626021654
Mumbai,Dispatch Executive,s d fiNE CHEM (SDFCL),Mumbai,"Well versed with SAP and MS Suit Knowledge about generating invoice, co-ordinate with s...",SAP | Chemical | PDF | Sales | MS Word | Executive management | Sales accounting | Management,3+ weeks ago,https://www.naukri.com/job-listings-dispatch-executive-s-d-fine-chem-limited-mumbai-5-to-10-years-070325500582
Mumbai,Logistics Executive,Testing Grounds,Mumbai(Wadala),Preferred Knowledge: .,Export Operations | Vendor Management | Supply Chain Management | Transportation Management | Logistics Management | Export Documentation | MS Excel | International Shipping,Just now,https://www.naukri.com/job-listings-logistics-executive-testing-grounds-mumbai-0-to-2-years-250626922539
Mumbai,Billing Dispatch Executive,Enrg,"Mumbai, New Delhi, Pune",proficient with working in MS Excel. Tracking and Maintaining the record of material or...,Tally | Excel | Accounting | MIS | Billing | Packaging | MS Office | Dispatch Executive,3+ weeks ago,https://www.naukri.com/job-listings-billing-dispatch-executive-enrg-mumbai-new-delhi-pune-3-to-4-years-031224508528
Mumbai,Billing Dispatch Executive,Rims Marketing,"Mumbai, New Delhi, Pune",Qualification: Minimum Graduate Job Profile: Candidate should have good knowledge of MS...,Tally | Excel | Accounting | MIS | Billing | Packaging | Dispatch Executive | MS Office,3+ weeks ago,https://www.naukri.com/job-listings-billing-dispatch-executive-lakdi-mumbai-new-delhi-pune-3-to-4-years-300925504655
Delhi,Fleet Supervisor,Acko,Gurugram,Familiarity with fleet management software and systems. Disclaimer: This job descriptio...,fleet | data management | team management | administration | presentation skills | logistics | problem solving | analysis,3+ weeks ago,https://www.naukri.com/job-listings-fleet-supervisor-acko-gurugram-1-to-3-years-241225503950
Delhi,Fleet Executive,Euride India,"Delhi / NCR, Noida(Sector 49)",EuRide India is looking for Fleet Operations Executives to join our growing operations...,Fleet | Transport Operations | Route Planning | Vehicle Management | Fleet Operations | Tracking | Transportation | Logistics Operations,1 day ago,https://www.naukri.com/job-listings-fleet-executive-euride-india-noida-delhi-ncr-0-to-2-years-240626929655
Delhi,Transport Executive || Noida and Bhubaneswar || Night Shift - 10pm-7am,Delhivery,"Noida, Bhubaneswar, Chandigarh","Billing & Reconciliation Ensure accurate vendor billing, invoice verification, and coor...",Vehicle Management | Fleet | Route Planning | Cargo | Fleet Operations | Full Truck Load | Transportation | Trucking,6 days ago,https://www.naukri.com/job-listings-transport-executive-noida-and-bhubaneswar-night-shift-10pm-7am-delhivery-noida-bhubaneswar-chandigarh-2-to-7-years-190626011933
Delhi,Fleet Executive,BVC Logistics,New Delhi,Graduate in any discipline (preferred: Logistics / Supply Chain / Transport Management)...,Fleet Management | Fleet Operations | Fleet Maintenance | Vehicle Tracking | Gps Tracking | Route Planning | Excel Report Preparation | Transport Operations,Few hours ago,https://www.naukri.com/job-listings-fleet-executive-bvc-logistics-new-delhi-1-to-6-years-150426029874
Delhi,Fleet Supervisor - Pharmaceutical Logistics,Estalvis Advisors,Gurugram,"Bachelor s degree in Logistics, Supply Chain, Business Administration, or related field...",Supply chain | SAP | Pharma | Fleet Supervisor | Oracle | Load balancing | Distribution network | Operations,3+ weeks ago,https://www.naukri.com/job-listings-fleet-supervisor-pharmaceutical-logistics-estalvis-advisors-private-limited-gurugram-3-to-5-years-250226503315
Delhi,Transport Coordinator,School,Noida,Required Transport Coordinator for a School in Noida. Salary: 35K to 45K. Should have 5...,Vehicle Management | Fuel Management | Vehicle Tracking | Route Planning | Transport Operations | Fleet Operations | Vehicle Maintenance | Fleet Management,1 week ago,https://www.naukri.com/job-listings-transport-coordinator-jj-india-delhi-noida-5-to-10-years-130626012651
Delhi,Manager - Operations and Vetting - Celcius Tech,Fleet Management,Gurugram,. Review and approve risk assessments as required in the company proceduresEnsure a pos...,Training | Due diligence | Fleet management | Performance management | SAR | Inspection | Customer experience | Continuous improvement,3+ weeks ago,https://www.naukri.com/job-listings-manager-operations-and-vetting-celcius-tech-fleet-management-gurugram-10-to-14-years-060226502372
