Search City,Job Title,Company,Location,Required Skills,Posted Date,Job URL
Delhi,Manager - Operations and Vetting - Celcius Tech,Fleet Management,Gurugram,Training | Due diligence | Fleet management | Performance management | SAR | Inspection | Customer experience | Continuous improvement,3+ weeks ago,https://www.naukri.com/job-listings-manager-operations-and-vetting-celcius-tech-fleet-management-gurugram-10-to-14-years-060226502372
Delhi,Supervisor (EV Fleet Operations),Indus Motors Green,New Delhi,Payroll | ERP | Operations Manager | MIS | Process improvement | Data Analyst | Data mining | Business intelligence,3+ weeks ago,https://www.naukri.com/job-listings-supervisor-ev-fleet-operations-indus-motors-green-new-delhi-2-to-7-years-200226500015
Delhi,Transport Executive,Vinayak Enterprises,New Delhi,Truck Booking | Heavy truck placement | Freight Cooridnation | Vehicle Placement | Local Transport Network | FTL Coordination | Route Corodination | Transport Coordination,3+ weeks ago,https://www.naukri.com/job-listings-transport-executive-vinayak-enterprises-new-delhi-2-to-3-years-250526005782
Delhi,Service Advisor,Ring Road Hond,Gurugram,ERP | vehicle maintenance | Interpersonal skills | PDF | Time management | Service Advisor | HTML | Customer service,3+ weeks ago,https://www.naukri.com/job-listings-service-advisor-ring-road-honda-gurugram-3-to-7-years-260825500049
Delhi,Transport Executive,Ferns N Petals,New Delhi(Chattarpur),Fleet Management | Transportation | Route Planning | Management | Fleet | Planning | Route3,1 week ago,https://www.naukri.com/job-listings-transport-executive-ferns-n-petals-new-delhi-5-to-10-years-180626016188
Delhi,Fleet Officer / Incharge - Males Only,Metrro Waste Handling,"New Delhi(Vinod Nagar East), Delhi / NCR(Shahdara)",Logistics Operations | Route Planning | Vehicle Management | Fleet Management | Vehicle Tracking | Transportation | collection and transportation | Transport Operations,1 week ago,https://www.naukri.com/job-listings-fleet-officer-incharge-males-only-metrro-waste-handling-new-delhi-delhi-ncr-5-to-10-years-060325008505
Delhi,Airport Ground Staff,Namo Airways,Delhi / NCR,airport operations | insurance | ground staff | medical | operations | ticketing | skill development | aviation,1 day ago,https://www.naukri.com/job-listings-airport-ground-staff-namo-airways-delhi-ncr-0-to-2-years-250626925246
Delhi,Airport Ground Staff,Namo Airways,Delhi / NCR,Communication skills | insurance | ground staff | medical | operations | ticketing | skill development | aviation,1 day ago,https://www.naukri.com/job-listings-airport-ground-staff-namo-airways-delhi-ncr-0-to-1-years-250626925228
Delhi,Airport Ground Staff,Namo Airways,Noida,Airport Operations | Customer Service at Airport | Airport Operations Executive | Baggage Handling Staff | Check-in Assistant | Airport Ground Staff | Air Ticketing Executive | Passenger Service Agent,1 day ago,https://www.naukri.com/job-listings-airport-ground-staff-namo-airways-noida-0-to-1-years-250626925198
Delhi,Operations Manager,Stratsmith,New Delhi(Hauz Khas),Team Handling | Operations | Escalation Management | Last Mile Delivery | Urban Transport | Operations Team Handling | Logistics Operations | Route Planning,2 weeks ago,https://www.naukri.com/job-listings-operations-manager-stratsmith-delhi-new-delhi-2-to-7-years-090626011515
Delhi,Airport Ground Staff,Namo Airways,Ghaziabad,Communication skills | Customer Service at Airport | Airport Operations Executive | Baggage Handling Staff | Check-in Assistant | Airport Ground Staff | Air Ticketing Executive | Passenger Service Agent,1 day ago,https://www.naukri.com/job-listings-airport-ground-staff-namo-airways-ghaziabad-0-to-3-years-250626925149
Delhi,Process Associate - Insurance - Noida,Genpact,"New Delhi, Noida, Gurugram",insurance | claims | Property And Casualty Insurance | Insurance Claims | Property And Casualty | Claims Processing | Processing | Process,1 week ago,https://www.naukri.com/job-listings-process-associate-insurance-noida-genpact-noida-new-delhi-gurugram-0-to-3-years-080626008486
Delhi,Process Associate - Insurance - Noida,Genpact,"New Delhi, Noida, Gurugram",insurance | claims | Property And Casualty Insurance | Insurance Claims | Property And Casualty | Claims Processing | Process | Processing,2 weeks ago,https://www.naukri.com/job-listings-process-associate-insurance-noida-genpact-noida-new-delhi-gurugram-0-to-3-years-080626008185
Delhi,Operations Assistant Manager - International,TP,Gurugram,operations | operations management | communication | customer experience | process improvements | International | Process | Communication skills,2 weeks ago,https://www.naukri.com/job-listings-operations-assistant-manager-international-teleperformance-global-business-private-limited-gurugram-3-to-8-years-100626928510
Delhi,WAREHOUSE EXECUTIVE (Receipts & Dispatch),Delhivery,New Delhi,WAREHOUSE EXECUTIVE (Receipts & Dispatch) | Warehouse | Dispatch | Receipt,3+ weeks ago,https://www.naukri.com/job-listings-warehouse-executive-receipts-dispatch-delhivery-limited-new-delhi-2-to-5-years-240326505532
Delhi,Supply Chain Executive,Delhivery,New Delhi,cost reduction | supply chain | negotiation | logistics | operationsvendor | supply | communication skills | Cost,3+ weeks ago,https://www.naukri.com/job-listings-supply-chain-executive-delhivery-limited-new-delhi-1-to-4-years-240326506537
Delhi,Executive - Warehouse Operations - Contract Logistics,DP World,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",Outbound | Operations management | Warehouse | contract logistics | Warehouse Executive | Compliance | Warehouse operations | Inventory,3+ weeks ago,https://www.naukri.com/job-listings-executive-warehouse-operations-contract-logistics-dp-world-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-1-years-080825502552
Delhi,Dispatch Executive,Euride India,"Delhi / NCR, Noida(Sector 49)",MS Excel | Dispatch | Supply Chain Management | Delivery | Tracking | Dispatch Planning | Dispatch Scheduling | Material Receipt,1 day ago,https://www.naukri.com/job-listings-dispatch-executive-euride-india-noida-delhi-ncr-1-to-3-years-240626930722
Delhi,Store and Dispatch Executive,Vinsak,Gurugram,Inventory Management | Dispatch | GRN | Material Management | Raw Material Procurement | Raw material | Material procurement | Stores,1 week ago,https://www.naukri.com/job-listings-store-and-dispatch-executive-vinsak-gurugram-3-to-5-years-120626019526
Delhi,Dispatch Executive,Euride Gmbh,Gurugram(Sector 49),Backend Operations | Logistics Operations | Logistics | Outbound Logistics | Vehicle Tracking | Dispatch | Route Planning | Route3,3 weeks ago,https://www.naukri.com/job-listings-dispatch-executive-euride-gmbh-gurugram-1-to-3-years-050526016876
Delhi,Dispatch Executive,Career Solutions,New Delhi(Narela),Dispatch | E Way Bill | Supply Chain Management | Dispatch Planning | Logistics | GRN | SAP | Inward,3+ weeks ago,https://www.naukri.com/job-listings-dispatch-executive-career-solutions-new-delhi-1-to-6-years-280526026230
Delhi,Dispatch Executive,Trident Logistics,Remote,Spoken English | English | Dispatch | Supply Chain Management | English Language | Logistics | Dispatch Planning | Supply,1 week ago,https://www.naukri.com/job-listings-dispatch-executive-trident-logistics-new-delhi-1-to-4-years-160626027744
Delhi,Store and Dispatch Executive,Mahabir Plastic,Faridabad,Store Executive | Dispatch Executive | Stores | Dispatch,3+ weeks ago,https://www.naukri.com/job-listings-store-and-dispatch-executive-mahabir-plastic-industries-faridabad-0-to-3-years-280624501248
Delhi,Dispatch Executive,Aos Products,Ghaziabad,dispatch | production | logistics | delivery operations | transportation | Delivery | Operations,3+ weeks ago,https://www.naukri.com/job-listings-dispatch-executive-aos-products-pvt-ltd-ghaziabad-4-to-6-years-211125500143
Delhi,Dispatch Executive,Eternal Homes,New Delhi(Ghitorni),Dispatch | Inventory | Dispatch Planning | Logistics | Planning,4 days ago,https://www.naukri.com/job-listings-dispatch-executive-eternal-homes-new-delhi-2-to-4-years-220626001605
Delhi,Pre Dispatch Inspection Executive (PDI Executive),Mistnokriwala,Faridabad,Product quality | Basic | Pre dispatch inspection | Quality standards | Compliance | Quality inspection | Senior Executive | Packaging,2 weeks ago,https://www.naukri.com/job-listings-pre-dispatch-inspection-executive-pdi-executive-mistnokriwala-faridabad-3-to-8-years-110626501073
Delhi,Dispatch Executive,HDI OUTSOURCING SERVICES PVT LTD,Faridabad(Sector 57),Dispatch | E Way Bill | Order Processing | Inventory | Dispatch Planning | Processing | Order fulfillment | E,3 weeks ago,https://www.naukri.com/job-listings-dispatch-executive-hdi-outsourcing-services-faridabad-2-to-3-years-300526007955
Delhi,Dispatch Executive,Indygreen,New Delhi(Chander Vihar),Supply Chain Management | Export Logistics | Dispatch Planning | Logistics | Dispatch | Order Processing | Processing | Process,5 days ago,https://www.naukri.com/job-listings-dispatch-executive-indygreen-new-delhi-2-to-3-years-200626015144
Delhi,Dispatch Executive,Nirvaan Enterprises,Delhi / NCR,Dispatch | E Way Bill | Order Processing | Inventory | Logistics | Dispatch Planning | Processing | Order fulfillment,1 week ago,https://www.naukri.com/job-listings-dispatch-executive-nirvaan-enterprises-delhi-ncr-2-to-5-years-160626027118
Chennai,Fleet Supervisor,Acko,Chennai,fleet | data management | team management | administration | presentation skills | logistics | problem solving | analysis,3+ weeks ago,https://www.naukri.com/job-listings-fleet-supervisor-acko-chennai-1-to-3-years-241225503689
Chennai,Transport Coordinator,Sitics Logistic Solutions,"Chennai, Tiruchirapalli, Bengaluru",Transportation | Route Planning | Vehicle Placement | Vehicle | Placement | Planning | Route3,3 days ago,https://www.naukri.com/job-listings-transport-coordinator-sitics-logistic-solutions-chennai-tiruchirapalli-bengaluru-3-to-5-years-220626007871
Chennai,Assistant Manager- Operations -International Voice Process,Annova Solutions Pvt Ltd,Chennai,BPO | Team management | ISO | Process improvement | Budgeting | ITES | Stakeholder management | Operations,1 day ago,https://www.naukri.com/job-listings-assistant-manager-operations-international-voice-process-annova-solutions-pvt-ltd-chennai-0-to-5-years-240626505386
Chennai,Process Associate - Insurance - Madurai,Genpact,"Chennai, Madurai, Coimbatore",insurance | claims | Property And Casualty Insurance | Insurance Claims | Property And Casualty | Claims Processing | Processing | Process,6 days ago,https://www.naukri.com/job-listings-process-associate-insurance-madurai-genpact-madurai-chennai-coimbatore-0-to-2-years-190626018627
Chennai,General Manager / Hotel Operations / Hospitality Management / Hotel GM,India's Leading Hotel Chain,"Chennai, Patna, Pune, Bengaluru, Delhi / NCR, Mumbai (All Areas)",Hotel Management | Hotel GM | Hospitality Management | Hotel Administration | Food & Beverage | Revenue Management | Team Leadership | Hospitality Services,3 days ago,https://www.naukri.com/job-listings-general-manager-hotel-operations-hospitality-management-hotel-gm-freelancer-patna-pune-chennai-bengaluru-delhi-ncr-mumbai-all-areas-10-to-20-years-220626017045
Chennai,Medical Store Incharge,M/S Sri Sudharsanam Medical Services,Chennai,English | Computer Knowledge | Store Supervision | Tamil | Supervision | Stores | Medical | Computer,1 day ago,https://www.naukri.com/job-listings-medical-store-incharge-m-s-sri-sudharsanam-medical-services-chennai-3-to-5-years-240626934772
Chennai,Courier Operations Staff,Franch Express Courier,Chennai,Logistics | Operations | Courier,3+ weeks ago,https://www.naukri.com/job-listings-courier-operations-staff-franch-express-courier-pvt-ltd-chennai-1-to-5-years-180425501823
Chennai,Senior Operations Manager,Mrmed,Chennai,six sigma | operations management | team management | performance monitoring | kpi | operational risk | process optimization | process improvement,3+ weeks ago,https://www.naukri.com/job-listings-senior-operations-manager-mrmed-chennai-0-to-1-years-160725500038
Chennai,Store incharge,Shrishri Infrastructure,"Chennai, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Bengaluru",Business administration | Retail | Interpersonal skills | Customer management | Financial planning | Retail management | Retail operations | Staff management,3+ weeks ago,https://www.naukri.com/job-listings-store-incharge-shrishri-infrastructure-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-8-years-030524501545
Chennai,Branch Manager / Branch Incharge,Sugam Parivahan,"Chennai, Noida, Ludhiana, Mumbai, Tumkur, Tiruppur, Bengaluru",Training | Usage | Head Business Development | Analytical | Billing | Logistics operations | Staff management | Management,3+ weeks ago,https://www.naukri.com/job-listings-branch-manager-branch-incharge-sugam-group-noida-ludhiana-mumbai-tumkur-tiruppur-chennai-bengaluru-8-to-18-years-080724501614
Chennai,Process Associate - Insurance - Madurai,Genpact,"Chennai, Madurai, Coimbatore",insurance | claims | Property And Casualty Insurance | Insurance Claims | Property And Casualty | Claims Processing | Processing | Casualty,1 week ago,https://www.naukri.com/job-listings-process-associate-insurance-madurai-genpact-madurai-chennai-coimbatore-0-to-2-years-160626021214
Chennai,Process Associate - Insurance - Madurai,Genpact,"Chennai, Madurai, Coimbatore",insurance | claims | Property And Casualty Insurance | Insurance Claims | Property And Casualty | Claims Processing | Processing | Casualty,1 week ago,https://www.naukri.com/job-listings-process-associate-insurance-madurai-genpact-madurai-chennai-coimbatore-0-to-2-years-150626029200
Chennai,Process Associate - Insurance - Madurai,Genpact,"Chennai, Madurai, Coimbatore",insurance | claims | Property And Casualty Insurance | Insurance Claims | Property And Casualty | Claims Processing | Process | Processing,2 weeks ago,https://www.naukri.com/job-listings-process-associate-insurance-madurai-genpact-madurai-chennai-coimbatore-0-to-2-years-110626029659
Chennai,Process Associate - Insurance - Madurai,Genpact,"Chennai, Madurai, Coimbatore",insurance | claims | Property And Casualty Insurance | Insurance Claims | Property And Casualty | Claims Processing | Processing | Casualty,3 weeks ago,https://www.naukri.com/job-listings-process-associate-insurance-madurai-genpact-madurai-chennai-coimbatore-0-to-3-years-290526011602
Chennai,Process Associate - Insurance - Madurai,Genpact,"Chennai, Madurai, Coimbatore",insurance | claims | Property And Casualty Insurance | Insurance Claims | Property And Casualty | Claims Processing | Process | Processing,3+ weeks ago,https://www.naukri.com/job-listings-process-associate-insurance-madurai-genpact-madurai-chennai-coimbatore-0-to-3-years-250526011002
Chennai,T24 Developer with Data Migration,Cognizant,Chennai,data | enterprise | data warehousing | data mapping | data migration | relational databases | business intelligence | sql,4 days ago,https://www.naukri.com/job-listings-t24-developer-with-data-migration-cognizant-chennai-4-to-6-years-210626003957
Chennai,Hr Executive And Recruiter,Lingeshwaran Thulukkanam,Chennai(Porur),HR Generalist Activities | End To End Recruitment | Talent Acquisition | End | Hrsd | End To End | Recruitment | Acquisition,1 day ago,https://www.naukri.com/job-listings-hr-executive-and-recruiter-lingeshwaran-thulukkanam-chennai-0-to-2-years-250626045831
Chennai,Operations Manager,ti Steps,"Chennai, Hyderabad, Bengaluru",Branch Operations | Lead Operations | Business Operations | Operations | Operations Management | Healthcare Operations | Bpo Operations | Last Mile Delivery,1 week ago,https://www.naukri.com/job-listings-operations-manager-ti-steps-hyderabad-chennai-bengaluru-1-to-2-years-131025001519
Chennai,Head Operations,Eventexpo Technology Solutions,Chennai(Porur),Business Operations | Production Operations | Operations | Operations Management | Management | Production | Production Operation,2 days ago,https://www.naukri.com/job-listings-head-operations-eventexpo-technology-solutions-chennai-5-to-10-years-230626943530
Chennai,Asst . Operations Manager,Unicare Services,Chennai,operations management | team management | back office operations | customer service | team handling | business development | customer support | client relationship management,2 weeks ago,https://www.naukri.com/job-listings-asst-operations-manager-unicare-services-chennai-3-to-4-years-110626500320
Chennai,Executive - Warehouse Operations - Contract Logistics,DP World,"Chennai, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Bengaluru",Outbound | Operations management | Warehouse | contract logistics | Warehouse Executive | Compliance | Warehouse operations | Inventory,3+ weeks ago,https://www.naukri.com/job-listings-executive-warehouse-operations-contract-logistics-dp-world-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-1-years-080825502552
Chennai,Executive - SCM,Avery Dennison,"Chennai, Hyderabad, Coimbatore",Order management | MS Office suite | PPC | Workflow | Oracle ERP | Material planning | Manager Quality Control | Customer service,3+ weeks ago,https://www.naukri.com/job-listings-executive-scm-avery-dennison-india-pvt-ltd-hyderabad-chennai-coimbatore-2-to-3-years-300426501987
Chennai,WAREHOUSE EXECUTIVE (Receipts & Dispatch),Annai Enterprises Private Limited,Chennai,dispatch | shipment | operations | logistics | warehouse managementinventory | warehouse | inventory management | Receipt,3+ weeks ago,https://www.naukri.com/job-listings-warehouse-executive-receipts-dispatch-annai-enterprises-pvt-ltd-chennai-2-to-6-years-240326507318
